code,size,rooms,price,url,image_url,type,neighborhood,street,bedrooms,floor,interior,bathrooms,year_built,description,central_heating,yard
A15495,55 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A15495,https://novelestate.com/images/estate/27900/prekrasen-stan-vo-blizina-na-diamond-mall (1).jpeg,rent,Центар,ул.50 Дивизија,1,5ж6,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 55 m2.
 Екстра: Клима, Централно Парно, Лифт, Паркинг.
 Цена: 450 EUR",Yes,
A13592,43 m²,2,360 €,https://www.novelestate.com/estate_view.html?id=A13592,https://novelestate.com/images/estate/24627/4.jpeg,rent,Центар,,1,3,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 43 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 360 EUR",Yes,
A15373,50 m²,2,300 €,https://www.novelestate.com/estate_view.html?id=A15373,https://novelestate.com/images/estate/27707/viber_image_2025-05-21_09-52-09-476.jpg,rent,Карпош 1,,1,2,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 1 со површина од 50 m2.
 Екстра: Клима, Греење на струја.
 Цена: 300 EUR",,
A14840,60 m²,3,550 €,https://www.novelestate.com/estate_view.html?id=A14840,https://novelestate.com/images/estate/26865/luxury-2-bedroom-apartment-in-centar-univerzalna-hall.jpeg,rent,Центар - Универзална Сала,,2,1,Наместен,1,,"Се издава наместен стан во Скопје, Центар - Универзална Сала со површина од 60 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 550 EUR",Yes,
A15291,52 m²,2,550 €,https://www.novelestate.com/estate_view.html?id=A15291,https://novelestate.com/images/estate/27578/1.jpeg,rent,Водно,,1,2/3,Наместен,1,,"Се издава наместен стан во Скопје, Водно со површина од 52 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Гаража.
 Цена: 550 EUR",,
A15088,55 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A15088,https://novelestate.com/images/estate/27226/luksuzen-stan-vo-centar-debar-maalo-zooloska.jpeg,rent,Дебар Маало,ул.Ф.Рузвелт,1,2,Наместен,1,,"Се издава наместен стан во Скопје, Дебар Маало со површина од 55 m2.
 Екстра: Централно Парно, Лифт.
 Цена: 450 EUR",Yes,
A12234,63 m²,3,450 €,https://www.novelestate.com/estate_view.html?id=A12234,https://novelestate.com/images/estate/22319/Ekskluziven-stan-Debar-Maalo (2).jpeg,rent,Дебар Маало,,2,2/8,Наместен,1,,"Се издава наместен стан во Скопје, Дебар Маало со површина од 63 m2.
 Екстра: Клима, Централно Парно, Лифт.
 Цена: 450 EUR",Yes,
A13284,58 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A13284,https://novelestate.com/images/estate/24094/Izdavam-nov-stan-vo-Kozle-58m2-luksuzno-opremen (10).jpeg,rent,Козле,,1,1,Наместен,1,,"Се издава наместен стан во Скопје, Козле со површина од 58 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг.
 Цена: 450 EUR",,
A15233,60 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A15233,https://novelestate.com/images/estate/27453/4.jpeg,rent,Тафталиџе 1,,1,5,Наместен,1,,"Се издава наместен стан во Скопје, Тафталиџе 1 со површина од 60 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 450 EUR",Yes,
A3813,52 m²,2,Please contact,https://www.novelestate.com/estate_view.html?id=A3813,https://novelestate.com/images/estate/7035/4.jpg,rent,Кисела Вода,,,4,Наместен,1,,"Се издава наместен стан во Скопје, Кисела Вода со површина од 52 m2.
 Екстра: Лифт, Греење на струја.
 Цена: 0 EUR",,
A15097,50 m²,2,380 €,https://www.novelestate.com/estate_view.html?id=A15097,https://novelestate.com/images/estate/27236/se-iznajmuva-novoopremen-stan (2).jpeg,rent,Автокоманда,,1,2,Наместен,1,2022,"Се издава наместен стан во Скопје, Автокоманда со површина од 50 m2.
 Екстра:.
 Цена: 380 EUR",,
A15409,67 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A15409,https://novelestate.com/images/estate/27773/3.jpeg,rent,Дебар Маало,,1,приземје,Наместен,1,,"Се издава наместен стан во Скопје, Дебар Маало со површина од 67 m2.
 Екстра: Клима, Греење на струја.
 Цена: 450 EUR",,
A0164,56 m²,2,Please contact,https://www.novelestate.com/estate_view.html?id=A0164,https://novelestate.com/images/estate/987/1.jpeg,rent,Карпош 3,,1,5,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 3 со површина од 56 m2.
 Екстра: Греење на струја, Лифт.
 Цена: 0 EUR",,
A13726,51 m²,2,500 €,https://www.novelestate.com/estate_view.html?id=A13726,https://novelestate.com/images/estate/24915/d678a436-cb65-4cde-b249-fbbc5f41e4d2.jpg,rent,Тафталиџе 1,,1,8,Наместен,1,,"Се издава наместен стан во Скопје, Тафталиџе 1 со површина од 51 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 500 EUR",Yes,
A15359,72 m²,2,500 €,https://www.novelestate.com/estate_view.html?id=A15359,https://novelestate.com/images/estate/25054/1.jpeg,rent,Центар,ул.Пиринска,1,4,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 72 m2.
 Екстра: Клима, Лифт, Нова Зграда.
 Цена: 500 EUR",,
A14838,73 m²,4,650 €,https://www.novelestate.com/estate_view.html?id=A14838,https://novelestate.com/images/estate/26862/nov-nevseluvan-stan-73m2 (7).jpeg,rent,Аеродром,,3,3,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром со површина од 73 m2.
 Екстра: Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 650 EUR",Yes,
A15043,70 m²,3,350 €,https://www.novelestate.com/estate_view.html?id=A15043,https://novelestate.com/images/estate/27170/7.jpeg,rent,Карпош 4,,,4,Празен,1,,"Се издава празен стан во Скопје, Карпош 4 со површина од 70 m2.
 Екстра: Клима, Централно Парно.
 Цена: 350 EUR",Yes,
A4144,77 m²,3,500 €,https://www.novelestate.com/estate_view.html?id=A4144,https://novelestate.com/images/estate/7685/IMG_0881.JPG,rent,Центар,,2,1,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 77 m2.
 Екстра: Централно Парно.
 Цена: 500 EUR",Yes,
A15488,75 m²,3,400 €,https://www.novelestate.com/estate_view.html?id=A15488,https://novelestate.com/images/estate/27889/viber_image_2025-07-16_11-28-17-807.jpg,rent,Хром,ул.Исаија Мажоски,2,4,Наместен,2,,"Се издава наместен стан во Скопје, Хром со површина од 75 m2.
 Екстра: Клима, Централно Парно, Реновиран, Паркинг.
 Цена: 400 EUR",Yes,
A15423,67 m²,3,550 €,https://www.novelestate.com/estate_view.html?id=A15423,https://novelestate.com/images/estate/27789/1.jpg,rent,Аеродром,,2,6,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром со површина од 67 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 550 EUR",Yes,
A13066,98 m²,4,700 €,https://www.novelestate.com/estate_view.html?id=A13066,https://novelestate.com/images/estate/23775/IMG_0920.JPG,rent,Тафталиџе 1,,3,9,Наместен,2,,"Се издава наместен стан во Скопје, Тафталиџе 1 со површина од 98 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг, Гаража.
 Цена: 700 EUR",,
